,area,endereco,quartos,banheiros,vagas,preco,condominio,amenidades,bairro
5556,67,"Rua Fradique Coutinho, 623 ",2,2,1,2400.0,781.0,"Interfone
Sistema de alarme", Pinheiros
5557,213,Avenida Morumbi ,3,5,4,13500.0,1700.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Morumbi
5558,37,"Avenida Nove de Julho, 2005 ",1,1,0,1000.0,510.0,"Cozinha
Elevador
Interfone
Área de serviço", Bela Vista
5559,41,"Rua Antônio Carlos, 453 ",1,1,1,3250.0,0.0,0, Consolação
5560,91,"Rua Jorge Americano, 310 ",3,3,2,3950.0,1065.0,"Piscina
Mobiliado
Churrasqueira
Condomínio fechado
Aceita animais
...", Alto da Lapa
5561,45,"Brooklin, São Paulo ",1,1,1,2000.0,600.0,0, SP
5562,35,Rua Marselhesa ,1,1,1,2800.0,640.0,"Piscina
Churrasqueira
Elevador
Varanda
Ar-condicionado
...", Vila Mariana
5563,125,"Avenida Macuco, 299 ",3,5,2,8500.0,1255.0,"Elevador
Varanda
Academia
Espaço gourmet
Garagem
...", Moema
5564,90,Rua Bertioga ,3,1,2,4900.0,900.0,"Varanda
Academia
Jardim
Área de serviço
Playground
...", Chácara Inglesa
5565,63,Rua Professor José Leite e Oiticica ,2,2,1,4000.0,695.0,"Piscina
Varanda
Ar-condicionado
Armário na cozinha
Interfone
...", Brooklin
5566,65,"Vila Prudente, São Paulo ",2,1,1,1650.0,514.0,"Piscina
Churrasqueira
Varanda
Quintal
Área de serviço
...", SP
5567,62,"Rua Caio Prado, 363 ",2,2,1,3500.0,649.0,"Condomínio fechado
Espaço gourmet
Salão de jogos", Bela Vista
5568,53,"Rua Doutor Pinto Ferraz, 271 ",1,1,0,1650.0,470.0,"Academia
Salão de festas
Elevador
Portaria 24h", Vila Mariana
5569,23,"Rua Caio Prado, 101 ",1,1,0,2500.0,200.0,"Ar-condicionado
Varanda", Consolação
5570,35,"Avenida Doutor Cardoso de Melo, 674 ",1,1,1,3200.0,700.0,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...", Vila Olímpia
5571,38,"Rua Frederico Abranches, 375 ",1,1,1,1400.0,604.0,"Elevador
Academia
Aceita animais
Portaria 24h
Cozinha americana
...", Vila Buarque
5572,50,"Moema, São Paulo ",1,1,1,2600.0,540.0,"Piscina
Elevador
Varanda
Garagem
Jardim
...", SP
5573,92,Rua Filipinas ,1,1,1,3200.0,1.0,0, Alto da Lapa
5574,55,"Vila Mascote, São Paulo ",1,1,1,2500.0,663.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Varanda
...", SP
5575,110,"Vila Madalena, São Paulo ",3,2,1,2800.0,910.0,"Cozinha
Elevador
Interfone
TV a cabo
Área de serviço", SP
5576,110,"Moema, São Paulo ",4,3,2,6000.0,1140.0,"Piscina
Churrasqueira
Varanda
Quintal
Ar-condicionado
...", SP
5577,77,"Rua Ática, 480 ",2,1,2,1300.0,850.0,"Piscina
Elevador
Espaço gourmet
Garagem
Playground
...", Jardim Brasil
5578,60,Rua Sapucaia ,2,2,2,2500.0,543.0,"Mobiliado
Varanda
Academia
Jardim
Área de serviço
...", Alto da Mooca
5579,40,Praça Benedito Calixto ,1,1,1,1900.0,650.0,"Elevador
Condomínio fechado
Aceita animais
Portaria 24h
Armário embutido no quarto
...", Pinheiros
5580,82,"Vila Mariana, São Paulo ",2,2,1,2000.0,820.0,"Cozinha
Elevador
Segurança 24h
Área de serviço", SP
5581,64,"Avenida dos Imarés, 160 ",2,2,1,4400.0,120.0,Aquecimento, Indianópolis
5582,103,"Vila Suzana, São Paulo ",3,4,2,3290.0,1100.0,"Piscina
Churrasqueira
Varanda
Academia
Área de serviço
...", SP
5583,186,"Rua Monte Alegre, 238 ",3,5,4,11000.0,2500.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Perdizes
5584,89,"Jardim Prudência, São Paulo ",3,2,2,4600.0,694.0,"Piscina
Mobiliado
Churrasqueira
Área de serviço
Playground
...", SP
5585,31,"Praça Cassiano Nogueira, 28 ",1,1,1,2335.0,511.0,"Ar-condicionado
Cozinha
Elevador
Gerador elétrico", Vila Mariana
5586,100,"Rua Doutor Bacelar, 709 ",3,3,2,5600.0,1413.0,"Piscina
Mobiliado
Churrasqueira
Condomínio fechado
Academia
...", Vila Clementino
5587,354,"Alameda Itu, 885 ",4,5,3,25000.0,3000.0,"Elevador
Condomínio fechado
Academia
Aceita animais
Espaço gourmet
...", Jardim Paulista
5588,62,Rua Coronel Camisão ,2,1,2,2000.0,600.0,"Piscina
Churrasqueira
Elevador
Espaço gourmet
Varanda gourmet
...", Vila Gomes
5589,40,Rua Professor Carlos de Carvalho ,1,1,1,1600.0,455.0,"Jardim
Piscina", Itaim Bibi
5590,136,Rua Renato Egídio de Souza Aranha ,3,5,2,4000.0,1715.0,"Piscina
Churrasqueira
Área de serviço
Quadra poliesportiva
Armário na cozinha
...", Vila Sao Francisco
5591,52,"Rua Jaceru, 346 ",1,1,1,3190.0,592.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Brooklin
5592,123,"Perdizes, São Paulo ",2,3,3,7500.0,1750.0,"Piscina
Varanda
Academia
Ar-condicionado
Jardim
...", SP
5593,210,"Água Branca, São Paulo ",4,4,2,22000.0,1260.0,"Piscina
Churrasqueira
Elevador
Jardim
Sistema de alarme
...", SP
5594,178,Rua Pensilvânia ,3,5,3,10500.0,1550.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...", Cidade Monções
5595,53,"Santo Amaro, São Paulo ",1,1,1,1899.0,457.0,"Salão de festas
Sala de jantar
Área de serviço", SP
5596,134,"Rua Tabapuã, 460 ",3,2,1,3860.0,1640.0,"Elevador
Garagem
Interfone", Itaim Bibi
5597,110,Rua João de Sousa Dias ,3,3,1,2800.0,1133.0,"Elevador
Playground
Salão de festas
Armário embutido
Área de serviço", Campo Belo
5598,36,Rua Costa ,1,1,0,1400.0,255.0,"Mobiliado
Elevador
Área de serviço
Cozinha
Interfone
...", Bela Vista
5599,129,Rua Bacaetava ,4,4,2,8000.0,1200.0,"Piscina
Churrasqueira
Elevador
Ar-condicionado
Área de serviço
...", Brooklin
5600,53,"Rua Diogo Jácome, 954 ",1,2,1,3500.0,750.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Vila Nova Conceição
5601,85,Rua Orfanato ,3,2,1,1900.0,810.0,"Churrasqueira
Playground
Piscina infantil
Salão de festas
Quadra poliesportiva
...", Vila Prudente
5602,75,Rua Paracatu ,2,2,1,2100.0,690.0,"Piscina
Elevador
Varanda
Área de serviço
Cozinha
...", Saúde
5603,130,"Pinheiros, São Paulo ",2,3,2,4500.0,1600.0,"Piscina
Varanda
Área de serviço
Armário na cozinha
Interfone
...", SP
5604,66,Rua Cônego Eugênio Leite ,2,1,1,2900.0,980.0,0, Pinheiros
5605,172,Avenida Ibijaú ,4,5,2,5700.0,1950.0,"Piscina
Ar-condicionado
Área de serviço
Playground
Quadra poliesportiva
...", Moema
5606,130,"Avenida Rebouças, 399 ",3,3,1,3000.0,1559.0,"Jardim
Elevador
Condomínio fechado
Portão eletrônico
Portaria 24h", Jardins
5607,31,"Bela Vista, São Paulo ",1,1,0,1500.0,494.0,"Piscina
Elevador
Lavanderia
Salão de festas", SP
5608,98,"Rua Capitão Otávio Machado, 912 ",3,3,2,3200.0,705.0,"Academia
Garagem
Área de serviço
Playground
Piscina infantil
...", Chácara Santo Antônio
5609,60,"Vila Olímpia, São Paulo ",2,1,1,2400.0,838.0,"Churrasqueira
Elevador
Jardim
Área de serviço
Armário na cozinha
...", SP
5610,150,"Rua Pascoal Vita, 342 ",3,4,3,7000.0,1990.0,"Piscina
Elevador
Academia
Aceita animais
Ar-condicionado
...", Vila Madalena
5611,212,"Panamby, São Paulo ",4,5,4,8500.0,3000.0,"Piscina
Mobiliado
Churrasqueira
Academia
Espaço gourmet
...", SP
5612,128,"Alameda dos Arapanés, 390 ",2,2,1,3700.0,1050.0,"Elevador
Condomínio fechado
Varanda
Academia
Jardim
...", Moema
5613,46,Rua Doutor Antônio Bento ,1,1,1,2000.0,500.0,"Elevador
Academia
Espaço gourmet
Área de serviço
Cozinha
...", Santo Amaro
5614,70,Avenida Vieira de Carvalho ,1,1,0,1350.0,350.0,"Condomínio fechado
Portão eletrônico
Portaria 24h
Área de serviço
Aceita animais", República
5615,32,Rua Bartholomeu do Canto ,1,1,0,1500.0,298.0,"Churrasqueira
Cozinha
Elevador
Interfone
Varanda", Limão
5616,212,"Panamby, São Paulo ",4,5,4,8500.0,3000.0,"Piscina
Mobiliado
Churrasqueira
Academia
Espaço gourmet
...", SP
5617,128,"Alameda dos Arapanés, 390 ",2,2,1,3700.0,1050.0,"Elevador
Condomínio fechado
Varanda
Academia
Jardim
...", Moema
5618,46,Rua Doutor Antônio Bento ,1,1,1,2000.0,500.0,"Elevador
Academia
Espaço gourmet
Área de serviço
Cozinha
...", Santo Amaro
5619,70,Avenida Vieira de Carvalho ,1,1,0,1350.0,350.0,"Condomínio fechado
Portão eletrônico
Portaria 24h
Área de serviço
Aceita animais", República
5620,32,Rua Bartholomeu do Canto ,1,1,0,1500.0,298.0,"Churrasqueira
Cozinha
Elevador
Interfone
Varanda", Limão
5621,40,"Rua João Cachoeira, 1577 ",1,1,1,5465.0,600.0,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...", Vila Nova Conceição
5622,28,"Rua Rego Freitas, 484 ",1,1,0,2500.0,250.0,"Mobiliado
Churrasqueira
Elevador
Condomínio fechado
Aceita animais
...", República
5623,50,"Avenida Rouxinol, 762 ",1,1,1,2500.0,779.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Moema
5624,56,"Rua Filipinas, 327 ",2,1,1,1700.0,740.0,"Piscina
Salão de festas", Alto da Lapa
5625,110,"Rua Indiana, 510 ",3,2,2,4485.0,1100.0,"Playground
Salão de festas
Área de serviço", Brooklin
5626,24,"Rua Gravataí, 118 ",1,1,0,2500.0,260.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Consolação
5627,98,"Vila Olímpia, São Paulo ",3,2,2,5000.0,1000.0,"Ar-condicionado
Varanda", SP
5628,55,"Rua Carneiro Leão, 23 ",2,1,1,1200.0,600.0,0, Brás
5629,85,Avenida Mascote ,3,3,2,3000.0,1054.0,"Piscina
Churrasqueira
Academia
Jardim
Área de serviço
...", Vila Mascote
5630,110,Rua Afonso de Freitas ,3,3,1,2500.0,1280.0,"Cozinha
Salão de festas", Paraíso
5631,250,"Rua Gabriele D'Annunzio, 710 ",4,6,4,20000.0,2000.0,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...", Brooklin
5632,63,Rua Mateus Grou ,2,2,2,3500.0,1170.0,"Piscina
Salão de festas
Bicicletário
Elevador
Ar-condicionado", Pinheiros
5633,62,Avenida Guilherme Giorgi ,3,1,1,1850.0,520.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...", Vila Carrão
5634,69,"Avenida Casa Grande, 900 ",3,1,1,1450.0,650.0,"Piscina
Churrasqueira
Elevador
Academia
Playground
...", Vila Cunha Bueno
5635,49,"Rua Joaquim Antunes, 1049 ",1,1,1,1800.0,850.0,"Piscina
Elevador
Condomínio fechado
Aceita animais
Playground
...", Pinheiros
5636,45,"Rua Castilho, 155 ",1,1,1,3200.0,585.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Brooklin
5637,112,"Rua Herculano de Freitas, 51 ",3,3,1,3000.0,984.0,"Sistema de alarme
Condomínio fechado
Elevador
Aceita animais", Bela Vista
5638,20,Rua Gil de Oliveira ,1,1,0,810.0,100.0,"Interfone
Conexão à internet", Chácara Seis de Outubro
5639,40,Rua Dona Antônia de Queirós ,1,1,1,2200.0,570.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...", Consolação
5640,75,"Rua Cajaíba, 15 ",2,1,1,2000.0,652.0,"Elevador
Condomínio fechado
Academia
Aceita animais
Playground
...", Pompeia
5641,176,"Alameda Itu, 859 ",3,3,1,5000.0,1630.0,"Elevador
Academia
Jardim
Salão de festas
Quadra poliesportiva
...", Jardim Paulista
5642,50,Largo Cambuci ,1,1,0,1200.0,300.0,0, Cambuci
5643,30,"Avenida Brigadeiro Luís Antônio, 1186 ",1,1,0,1230.0,220.0,Aceita animais, Bela Vista
5644,39,"Rua Flórida, 103 ",1,1,1,3570.0,700.0,"Piscina
Mobiliado
Varanda
Academia
Ar-condicionado
...", Brooklin
5645,40,Rua Martiniano de Carvalho ,1,1,1,3500.0,627.0,"Piscina
Mobiliado
Churrasqueira
Varanda
Academia
...", Bela Vista
5646,130,"Rua Tucuna, 969 ",3,5,3,7000.0,1445.0,"Piscina
Mobiliado
Churrasqueira
Varanda
Ar-condicionado
...", Perdizes
5647,69,"Rua Rosa Gaeta Lazara, 93 ",2,2,1,5800.0,800.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Brooklin
5648,41,"Rua Maestro Elias Lobo, 1031 ",1,1,1,1700.0,1020.0,"Interfone
Salão de festas", Jardim Paulista
5649,97,Rua Doutor Fabrício Vampré ,3,1,2,5000.0,420.0,0, Vila Mariana
5650,68,"Rua Durval José de Barros, 327 ",2,1,1,1300.0,950.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Vila Matilde
5651,86,Avenida Pavão ,2,2,1,3500.0,700.0,"Academia
Área de serviço
Playground
Salão de festas
Quadra poliesportiva
...", Moema
5652,38,"República, São Paulo ",1,1,0,1800.0,0.0,0, SP
5653,71,Rua Antônio de Macedo Soares ,2,2,2,4500.0,890.0,"Mobiliado
Churrasqueira
Academia
Ar-condicionado
Área de serviço
...", Campo Belo
5654,40,"Bela Vista, São Paulo ",1,1,1,2300.0,450.0,"Piscina
Churrasqueira
Salão de festas
Interfone
Salão de jogos
...", SP
5655,300,"Rua Armando Petrella, 50 ",3,5,4,45000.0,5800.0,"Piscina
Mobiliado
Varanda
Garagem
Ar-condicionado
...", Cidade Jardim
5656,105,Rua dos Caetés ,3,3,1,3100.0,850.0,"Condomínio fechado
Academia
Playground
Salão de festas
Quadra poliesportiva
...", Perdizes
5657,35,"Rua Traituba, 71 ",1,1,1,2400.0,460.0,"Piscina
Elevador
Condomínio fechado
Academia
Espaço gourmet
...", Saúde
5658,79,Avenida Marquês de São Vicente ,2,2,1,4500.0,700.0,"Piscina
Churrasqueira
Varanda
Área de serviço
Cozinha
...", Jardim das Perdizes
5659,60,Rua Manuel Leiroz ,2,2,1,2700.0,0.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Penha
5660,65,"Rua Jorge Americano, 457 ",2,2,1,1200.0,950.0,"Piscina
Salão de festas", Alto da Lapa
5661,115,"Rua Apinajés, 1060 ",3,4,2,3800.0,1100.0,"Piscina
Churrasqueira
Elevador
Varanda
Academia
...", Perdizes
5662,48,"Vila Olímpia, São Paulo ",1,1,1,5750.0,1965.0,"Piscina
Mobiliado
Academia
Salão de festas
Conexão à internet
...", SP
5663,64,"Cidade Monções, São Paulo ",2,1,1,3000.0,0.0,"Piscina
Elevador
Salão de festas
Quadra poliesportiva
Interfone
...", SP
5664,95,"Rua Fernandes Moreira, 2000 ",2,3,2,5900.0,1170.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Granja Julieta
5665,123,Rua Elba ,3,4,2,3400.0,1012.0,"Churrasqueira
Elevador
Academia
Aceita animais
Jardim
...", Vila Moinho Velho
5666,115,Praça Carauari ,3,4,2,4500.0,825.0,"Piscina
Churrasqueira
Elevador
Academia
Salão de festas
...", Vila Maria Alta
5667,79,"Avenida Padre Antônio José dos Santos, 102 ",2,2,1,4300.0,850.0,"Piscina
Elevador
Condomínio fechado
Academia
Aceita animais
...", Cidade Monções
5668,74,"Rua Casa do Ator, 803 ",3,2,2,2800.0,1140.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Vila Olímpia
5669,40,Rua Caio Prado ,1,1,1,1300.0,508.0,"Elevador
Aceita animais
Jardim
Salão de festas
Bicicletário
...", Bela Vista
5670,87,Rua Caraíbas ,3,2,2,3500.0,865.0,"Churrasqueira
Elevador
Academia
Jardim
Playground
...", Perdizes
5671,74,Avenida Nove de Julho ,1,1,0,1300.0,550.0,"Salão de festas
Portaria 24h
Aceita animais", Bela Vista
5672,22,"Rua Tabatinguera, 462 ",1,1,0,2100.0,362.0,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...", Sé
5673,240,"Alameda Casa Branca, 471 ",3,3,3,11985.0,3968.0,"Quadra poliesportiva
Salão de festas", Jardim Paulista
5674,162,Rua Tagipuru ,3,5,3,7200.0,1500.0,"Piscina
Churrasqueira
Varanda
Garagem
Jardim
...", Barra Funda
5675,157,Rua Diogo Jácome ,3,4,3,17000.0,2562.0,"Piscina
Mobiliado
Churrasqueira
Varanda
Ar-condicionado
...", Vila Nova Conceição
5676,431,"Itaim Bibi, São Paulo ",4,6,3,25000.0,0.0,"Cozinha
Garagem
Ar-condicionado
Varanda", SP
5677,46,"Alameda dos Arapanés, 419 ",1,1,1,2200.0,480.0,"Elevador
Condomínio fechado
Varanda
Aceita animais
Ar-condicionado
...", Moema
5678,63,Avenida Sargento Geraldo Sant'Ana ,3,2,1,1700.0,678.0,"Elevador
Garagem
Condomínio fechado
Varanda", Jardim Marajoara
5679,52,"Rua Bela Cintra, 336 ",1,1,1,3700.0,500.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...", Consolação
5680,134,"Perdizes, São Paulo ",3,3,2,3600.0,1470.0,"Circuito de segurança
Churrasqueira
Piscina
Vigia", SP
5681,22,"Rua Tabatinguera, 462 ",1,1,0,1890.0,405.0,"Piscina
Churrasqueira
Academia
Ar-condicionado
Varanda gourmet
...", Sé
5682,50,"Rua Domingos Barbieri, 88 ",1,1,0,700.0,0.0,"Perto de vias de acesso
Próximo a escola
Próximo a hospitais
Próximo a shopping
Próximo a transporte público
...", Jardim Previdência
5683,50,Rua Comendador Miguel Calfat ,2,1,1,2300.0,930.0,"Churrasqueira
Piscina
Segurança 24h
Área de serviço", Vila Nova Conceição
5684,40,"Rua Treze de Maio, 1003 ",1,1,0,1200.0,552.0,Elevador, Bela Vista
5685,65,Avenida Santa Inês ,3,2,1,1200.0,684.0,"Salão de festas
Elevador", Mandaqui
5686,49,"Rua Juan Arfe, 31 ",2,1,1,1200.0,520.0,"Condomínio fechado
Segurança 24h", Vila Cruz das Almas
5687,53,"Alameda Itu, 61 ",1,1,1,1800.0,1150.0,"Cozinha
Salão de festas
Garagem
Condomínio fechado
Jardim", Jardim Paulista
5688,39,"Vila Mariana, São Paulo ",1,1,1,3500.0,760.0,"Piscina
Elevador
Ar-condicionado
Cozinha
Interfone
...", SP
5689,43,"Alameda dos Aicás, 392 ",1,1,1,2500.0,1000.0,"Piscina
Elevador
Varanda
Academia
Garagem
...", Moema
5690,148,"Alto Da Boa Vista, São Paulo ",3,4,3,5500.0,1075.0,"Piscina
Churrasqueira
Elevador
Academia
Área de serviço
...", SP
5691,95,"Moema, São Paulo ",3,3,1,2600.0,1112.0,"Cozinha
Elevador
Varanda
Área de serviço", SP
5692,40,Rua Washington Luís ,1,1,1,1800.0,397.0,"Piscina
Churrasqueira
Espaço gourmet
Salão de festas
Escritório
...", Centro
5693,34,Rua Caminho do Engenho ,1,1,0,1700.0,190.0,"Churrasqueira
Elevador
Salão de festas
Armário embutido
Armário na cozinha
...", Vila Sônia
5694,47,"Rua Itararé, 1 ",1,1,1,1300.0,598.0,0, Bela Vista
5695,56,"Rua Marquês de Paranaguá, 36 ",2,1,1,2300.0,939.0,"Cozinha
Vista exterior
Segurança 24h
Área de serviço", Cerqueira César
5696,56,"Conjunto Residencial José Bonifácio, São Paulo ",2,1,1,1100.0,0.0,"Interfone
Área de serviço", SP
